idn,titel,jahr,signatur,qd_verknuepfung_art,qd_idn
998655902,"Verzeichniss von Kinder- und Jugendschriften, welche bei Levrault, Buchhändler in Strassburg, erschienen sind, und sich besonders zu Preis-Austheilungen, Weihnachts- und Neujahrsgeschenken eignen",1840,Bö F III 445a,DNB,998655902
998657492,Beschreibung der in den letzten acht Jahren in der Papier-Fabrikation gemachten Verbesserungen,1828,Bö B II 129,DNB,998657492
998657948,"Darstellung der neuesten Verbesserungen in der Verfertigung des Papiers, enthaltend insbesondere die Beschreibung u. Abbildung der Maschine zur Verfertigung des Papiers ohne Ende, zum Glätten u. Schneiden desselben, ferner die Mittel verschieden gefärbtes Papier zu machen, und die Angabe aller Ersatzmittel der Lumpen",1821,Bö B II 129,DNB,998657948
998673145,Douze Mots aux magistrats français,1862,,DNB,998673145
998677280,Lied am Gutenbergs-Feste geweiht von L. Haberland [Buchdruckerei],1840,Da 385,DNB,998677280
998680001,Initia typographica illustravit Jo[annes] Frid[ericus] Lichtenberger,1811,Bö C IV 78,DNB,998680001
998680117,Indulgentiarum literas Nicolai V. P[ontifici] M[aximi] pro regno Cypri impressas a[nno] 1454,1816,Bö C IV 78,DNB,998680117
998693405,"Kunstgeschichte, Kunstgewerbe, Baukunst und Ingenieurwissenschaft, nebst einigen Werken zur Technologie, Mathematik und Naturwissenschaft grösstentheils aus dem Nachlasse ... Julius Cohn",1880,Ad 155,DNB,998693405
998705470,"Berichte über neue Apparate, Präparate etc. zur Photographie",1875,Bö B III 1181,DNB,998705470
998706590,"Illustrirter Catalog über photographische Apparate, Chemikalien und Utensilien etc. zur Photographie, Ferrotypie, Photolithographie, Lichtdruck etc.",1876,Bö B III 1181,DNB,998706590
998707090,"Verzeichnis von photographischer Literatur aus dem Verlage von Ed. Liesegang, Düsseldorf",1895,Nb 19,DNB,998707090
998707686,Verzeichniss von Objectiven für Photographen,1876,Bö B III 1181,DNB,998707686
99871058X,Ivsti LipsI de Amphitheatro liber,1598,"IV 12, 72",DNB,99871058X
99871352X,Early Welsh Script,1912,Ca 16,DNB,99871352X
998713694,"The @old Script of Corbie, its abbreviation symbols",1912,Ca 16,DNB,998713694
998713791,Ivsti LipsI de Militia Romana libri qvinqve,1598,"IV 12, 73",DNB,998713791
998715476,Alte und neue Lieder in Leid und Lust,1838,Sammlung Vogel 1990/296,DNB,998715476
998715476,Alte und neue Lieder in Leid und Lust,1838,Va 497 - 2,DNB,998715476
998715476,Alte und neue Lieder in Leid und Lust,1838,Va 497 - 2a,DNB,998715476
998748552,"Verzeichnis einer augewählten und wertvollen Autographen-Sammlung, ... am 10. Mai 1880 u. d. folg. Tagen ... versteigert werden soll",1880,Ja 14,DNB,998748552
998776084,Notions bibliothéconomiques de la Renaissance,1967,Ob 43,DNB,998776084
998776386,Vydajuščisja pamjatnik russkoj kultury-L'vovskij bukvar' Ivana Fedorova 1574 g.,1955,,DNB,998776386
998776629,Geschichte der Danziger Buchdruckereien,1840,Da 385,DNB,998776629
998777005,K ponimaniju genezisa graždanskogo pisma,19XX,Caa 91,DNB,998777005
998777447,Über russische Schreibmeistervorlagen,1957,Cb 94,DNB,998777447
998777765,Dva trudnych slučaja vosstanovlenika ugasšego teksta,19XX,Fb 33,DNB,998777765
998778656,"Ein @nutzlich Regiment der gesundt||heyt, Genant das Vanquete, oder Gastmal der Edlen diener|| von der Complexion, Eigenschafft, Schad vnd nutz allerley|| Speyß, Trancks, ...",1531,"III 69, 15d (1. angebundenes Werk)",DNB,998778656
998788074,A @catalogue of new works in general literature,1855,Bö B II 160,DNB,998788074
998788406,New Works in miscellaneous and general literature,1847,Bö C V 959,DNB,998788406
998788562,New Works,1829,Bö B II 65,DNB,998788562
998789798,"Ibrahim Bassa, Trauer-Spiel",1689,"IV 51, 11 (3. angebundenes Werk)",DNB,998789798
99879001X,Daniel Caspers von Lohenstein Blumen,1689,"IV 51, 11 (5. angebundenes Werk)",DNB,99879001X
998790427,Daniel Caspers von Lohenstein Cleopatra,1689,"IV 51, 11 (2. angebundenes Werk)",DNB,998790427
998790680,Daniel Caspers von Lohenstein Geistliche Gedancken über das LIII Capitel des Propheten Esaias,1689,"IV 51, 11 (4. angebundenes Werk)",DNB,998790680
998790818,Daniel Caspers von Lohenstein Sophonisbe,1689,"IV 51, 11 (1. angebundenes Werk)",DNB,998790818
998791288,Ibrahim Sultan,1679,"IV 51, 11",DNB,998791288
998809292,Das @deutsche Buchgewerbe-Museum im Buchhändlerhausen zu Leipzig,1890,Bö A II 171/4°,DNB,998809292
998809713,Der @Buchhandel und die graphischen Künste auf der Kunstgewerbe - Ausstellung zu Leipzig im Jahre 1879,1879,Ea 178,DNB,998809713
998811343,"A @Catalogue of books including many new and standard works in engineering, mechanics, architecture, natural and applied science, industrial arts, trade and commerce, agriculture, gardening, land management, law, etc",1888,Bö B II 231,DNB,998811343
998813079,A @Catalogue of American and foreign books,1888,Bö C V 972,DNB,998813079
998825646,De aliquot & triginta poenis ac damnis concubinatus clericorum,1590,"IV 230, 7",DNB,998825646
998842877,"D DIO||NYSII CARTHUSIA=||ni, Doctoris extatici vita, si=||mul & operum eius fidissi=||mus catalogus",1532,"III 21, 21 c",DNB,998842877
998844713,Hints on illuminating with an essay on the art of ornamenting in gold or metals describing a new and easy method of brilliantly and durably imitating the illuminated gilding of the middle ages,1902,Bö B I 243,DNB,998844713
99884618X,Beschreibung und Abbildung meiner unweit Leipzig im Jahre 1801 durch den Zimmermeister Lüders erbaueten Windpapiermühle nach holländischer Art ...,1820,Bö B II 178/4°,DNB,99884618X
998857858,Luden,1811,Bö E IV 444,DNB,998857858
998860050,Auslegung vieler schöner Sprüche heiliger Schrift welche Martin Luther in verschiedene Bibeln geschrieben hat,1847,Va 3657,DNB,998860050
998862495,Abbildung des Bapstum,1880,VI 49,DNB,998862495
99888331X,"Artickel Christlicher|| Lere, [Lehre], so da hetten sollen auffs Con-||cilium überantwortet werden, wo es sein würde,|| ... etc.",1563,"IV 450, 28",DNB,99888331X
99888409X,Auszlegung der|| Epistell vnnd|| Euangeli|| des|| Aduents||,1522,"III 104, 5 b",DNB,99888409X
99888488X,"Auszlegung|| der Epistelln|| vn̄ Euangelien die nach|| brauch der kirchen ge||leßen werdē, vom|| Christag biß|| auff|| den Sontag nach|| Epiphanie",1522,"III 104, 5 b (Angebundenes Werk)",DNB,99888488X
998887110,Das|| @XIIII. vnd XV|| Capitel S. Johan||nis,1538,"III 104, 32 d",DNB,998887110
99889687X,"Catalogue et prix des instruments d'Optique, de physique, de mathematiques, d'astronomie et de marine",1847,Bö D VII 1290,DNB,99889687X
998899267,Martin Luthers und anderer gottseliger Leut geistliche Lieder und Kirchengesänge [nebst. Catechismus],1651,"IV 81, 2 a (Angebundenes Werk)",DNB,998899267
998899542,Étude sur la loi du 25 mai 1877 relative aux brevets d'invention dans l'empire d'Allemagne,1878,Bö E III 606,DNB,998899542
998899739,Loi du 25 mai 1877 sur les brevets d'invention dans l'empire d'Allemagne,1878,Bö E III 606,DNB,998899739
998900362,Lysiae Atheniensis ... Orationes XXXIV quae de CCC reliquae sunt,1615,"IV 146, 9a",DNB,998900362
998924806,"Formular|| Oder Schreibbuch/|| Der=||gleichen zuuor also nie gesehen/ noch gelesen/|| viel weniger im Druck ausgangen.|| Zu sampt einem sonderlichen mit angehengten|| Process/ ... Vnd aufs || letzte/ drey peinliche Citationes/ gegen einen Todschleger/|| ... Mit || sonderlichem vleis/|| Durch|| Alexandrum Machholth/|| ... in Druck gebracht/ ...|| Auffs newe Corregiert vnd gebessert.||(Deutscher Process/ Weltli=||ches B#[ue]rgerliches Rechtens/ mit allen notd#[ue]rff=||tigen Formen der klagen/ antworten/ vnd aller anderer furtre=||ge/ von der Citation an/ bis auff die Execution ... || Durch Fridrichen Stumpharten/ vieljerigen || Archigrammateum, versamlet vnd ausgangen.||)",1563,"IV 99, 1 a",DNB,998924806
998924954,Die @drey|| Symbola oder Be||kentnis des glau||bens Christi jnn der|| kirchen eintrechtig||lich gebraucht||,1538,"III 104, 32 d (2. angebundenes Werk)",DNB,998924954
998939765,"Joachimi Johannis Maderi De Coronis, nuptiarum praesertim, sacris et profanis libellus",1688,"IV 162, 7 (1. angebundenes Werk)",DNB,998939765
998946796,De equuleo liber postumus,1664,"IV 8, 34",DNB,998946796
998947113,De tintinnabulis liber postumus,1664,"IV 8, 34",DNB,998947113
998947210,Aur elii Theodosii Macrobii ... Opera,1694,"IV 216, 53",DNB,998947210
99896591X,Eyn @manu[n]g d[er] criste[n]heit widd[er] die durke[n],1808,Bö D I 1,DNB,99896591X
998973262,"Deß newlich außgegangnen Predicantenspiegels Catholische Schutzschrifft, darinn nicht allein die Catholische und zuvor verthädigte Warheit gehandhabet, sondern auch der erdichtete ... vnnd leichtfertige Jesuitenspiegel, ... widerlegt wird Allen Liebhabern der Gründlichen Warheit zu Nutz ...",1601,"IV 164, 4",DNB,998973262
998974064,"De ortu ac progressu artis typographicae Dissertatio historica, in qua ...",1640,Bö C IV 91a,DNB,998974064
999006606,Nouveau Dictionnaire des ouvrages anonymes et pseudonymes la plupart contemporains avec les noms des auteurs ou éditeurs accompagné de notes historiques et critiques,1862,Ad 68,DNB,999006606
999009389,"P[ublii] Ovidii Nas[onis] Metamorphosis, oder des verblümten Sinns der Ovidianischen Wandlungs-Gedichte gründliche Auslegung",1679,"IV 273, 21",DNB,999009389
999011715,Histoire de l'origine et des premiers progrès de l'imprimerie,1740,Da 3,DNB,999011715
999011715,Histoire de l'origine et des premiers progrès de l'imprimerie,1740,Da 3a,DNB,999011715
999033018,Ode zum vierhundertjährigen Jubelfeste der Buchdruckerkunst in Danzig,1840,Da 385,DNB,999033018
999041924,"CONTUSIO|| CONFUSIO||NUM PRAECIPUA||RUM M. BALTHASARIS|| MENTZERI,|| Quas fecit ipse in futili refutatione libelli|| conscripti olim ab ANTONIO|| SADEELE p.m.|| DE SACRAMENTALI MAN||DUCATINE||",1597,"IV 363, 1",DNB,999041924
999042394,EXCUSSIO|| PLACIDAE RE||SPONSIONIS CUSAE|| A'DOCTORE PHILIPPO NI||COLAI AD ANTONII SADEELIS|| p.m. Tractatus de spirituali & sacra||mentali manducatione||,1597,"IV 363, 1",DNB,999042394
999126458,Abschiedt der Römischen Kayserlichen Maiestat|| Vnd gemeiner Stände auff dem Reichstag zu Speyr||,1571,Bö E IV 903/4°,DNB,999126458
999130048,,1824,Bö G II 386,DNB,999130048
999153226,Bibliotheca typographica,1873,Af 2,DNB,999153226
999153358,"POMPONII ME||LAE DE ORBIS SITV LIBRI TRES, ACCURATIS||sime emendati",1522,"III 103, 1b",DNB,999153358
999153684,Pomponii Melae de sitv orbis libri tres,1582,"IV 12, 53",DNB,999153684
999154230,Verzeichniss der hinterlassenen Bibliothek des Herrn K. F. A. von Raschau,1872,Af 2,DNB,999154230
999155628,Apologia der Con||fession,1567,"IV 450, 28",DNB,999155628
999155903,De EC||Clesiae Avtorita||tate[!] & de veterum scrip||tis libellus||,1539,"III 104, 22 g",DNB,999155903
999166352,"IN DANI||ELEM PROPHETAM|| COMMENTARIVS, EDITVS|| A PHIL",1546,"III 69, 23b (Angebundenes Werk)",DNB,999166352
999167294,De Dia||Lectica Li||Bri Qva||Tvor||,1531,"III 104, 32a",DNB,999167294
999167855,Elemen||Torvm|| Rhetorices|| Libri|| Dvo||,1532,"III 104, 32a",DNB,999167855
99916791X,Philippi Melanchthonis Grammatica Latina ... recognita et locupletata,1683,"IV 205, 96",DNB,99916791X
999170414,Elemento-||Rvm Rhetorices|| Libri Dvo.|| Recens Recogniti||,1554,"III 51, 28 f",DNB,999170414
99917097X,"Examen|| eorvm qvi avdi||vntvr ante ritvm|| pvblicae ordinationis, qva|| commendatur eis ministerium Evangelii",1559,"III 104, 42",DNB,99917097X
999171232,"Der @Ordi-||nanden Examen, wie|| es in der Meckelburgischen [!] Kirchenordnung ge-||fasset ist||",1555,"III 104, 42",DNB,999171232
999171992,"Historia|| De Vita Et Ac||Tis Reverendiss|| Viri. D. Mart. Lutheri, Ve||rae Theologiae Doctoris, bona|| fide conscripta",1549,"III 104, 22 g",DNB,999171992
999172697,"Inte||Grae Graecae Gramma||Tices Institvtio||nes, a Philippo Melan||chthone conscri||ptae, atq[ue] plu||ribus in o||cis au||ctae|| Nicolavs Gerbellivs|| Hoc credo quondam, ut callerent Graeca, libello|| Calliopen comites erudijsse suas||",1529,"III 21, 21 a",DNB,999172697
999175122,Die @Epi||stel S. Pauli zun|| Colossern,1529,"III 104, 32 d (1. angebundenes Werk)",DNB,999175122
999176056,Manuale dell'ornatista,1896,Bö B I 244,DNB,999176056
999177893,"Caroli Augustini Mellae ... Disputationes de usucapionibus et prescriptionibus, quibus accessere juris civilis miscellanea nonulla ...",1639,"IV 114, 27",DNB,999177893
999178261,MELODIAE in Odas Horatii||,1532,,DNB,999178261
999178660,Melodien zum Gesangbuche der evangelisch protestantischen Kirche des Großherzogthums Baden,1836,"IV 167, 4 (angebunden)",DNB,999178660
999179934,Mittheilungen über die Bibliothek der Kreuzschule,1869,Da 46,DNB,999179934
999183176,"Regenspurgischer Denckmahl, welches der edlen Buchdrucker-Kunst zu schuldigsten Ehren in ihren dritten Jubel-Jahre, den 24. Jun. A.C. [!] 1740 ...",1740,Bö C V 647/4°,DNB,999183176
999183508,"Jacobi Menteli, de vera typographiae origine Paraenesis",1650,Bö C IV 91a,DNB,999183508
999197444,"Der @Bau des Eis-Kellers sowohl in wie über der Erde, vermittelst Torf, Stroh oder Rohr u. Aufbewawhren des Eises in demselben",1848,Va 2447,DNB,999197444
999198246,"Anleitung zur Schönschreibekunst, mit gnädigster Freiheit Seiner Hochfürstln Durchlt Hern Ludwigs des IXten regierenden Landgrafen zu Hessen-Darmstatt",1775,Bö B I 397,DNB,999198246
999198483,"""Copia. Ludwig""",1769,Bö B I 397,DNB,999198483
999208810,Hieronymi Mercurialis De Arte gymnastica libri sex ...,1577,"IV 162, 7 (2. angebundenes Werk)",DNB,999208810
99920890X,,1595,"IV 74, 25",DNB,99920890X
999210793,"Kritisches Verzeichniss höchst seltener Incunabeln und alter Drucke, welche in des ehemals Kurfürstlich Mainzischen jetzt Königl. Bayerischen Hof - Bibliothek in Aschuffenburg aufbewahrt werden",1832,Da 177,DNB,999210793
999210793,"Kritisches Verzeichniss höchst seltener Incunabeln und alter Drucke, welche in des ehemals Kurfürstlich Mainzischen jetzt Königl. Bayerischen Hof - Bibliothek in Aschuffenburg aufbewahrt werden",1832,Bö C IV 95,DNB,999210793
999234889,Die @Buchdruckerkunst in Augsburg bei ihrem Entstehen,1840,Da 112,DNB,999234889
999234889,Die @Buchdruckerkunst in Augsburg bei ihrem Entstehen,1840,Da 136,DNB,999234889
999234889,Die @Buchdruckerkunst in Augsburg bei ihrem Entstehen,1840,Bö C V 148/4°,DNB,999234889
999254030,Bibliothecae Cantabrigiensis ordinandae methodus quaedam ...,1723,Bö G II 120,DNB,999254030
999254561,Variorum intra Italian monumentorum Inscriptiones ex pluribus in itinere descriptis,1715,"IV 381, 1",DNB,999254561
999304348,"Nützliche Mittheilungen für Papier-Fabrikanten, enthaltend eine vollst. Anweisg z. Bleichg d. rohen Stoffes, so wie d. Bereitung d. Chlorine u.s.w. u.d. Geheimnisses Papier in d. Masse zu leimen",1839,Ba 304,DNB,999304348
999304348,"Nützliche Mittheilungen für Papier-Fabrikanten, enthaltend eine vollst. Anweisg z. Bleichg d. rohen Stoffes, so wie d. Bereitung d. Chlorine u.s.w. u.d. Geheimnisses Papier in d. Masse zu leimen",1839,Bö B II 169,DNB,999304348
999305786,"Missale romanum, ex decreto sacrasancti concilii Tridentini restitutum, S. Pii V. ..., Clementis VIII. et Urbani VIII. auctoritate recognitum",1784,"IV 171, 4",DNB,999305786
99930710X,Die @alte Papiermühle in Lengfelden,1935,Ba 184,DNB,99930710X
99930836X,Wasserzeichen und Heimatgeschichte,1935,Ba 184,DNB,99930836X
999323601,Modus Legendi ab||breniaturas in vtroq Jure||,1505,"III 21, 39",DNB,999323601
999325477,,1907,Ag 72,DNB,999325477
999327836,Alter Traum und frühe Erfüllung,1932,Bb 124,DNB,999327836
999345826,"Fortegnelse over de paa pergament trykkede bøger i det store Kongelige Bibliothek, tilligemed nogle bidrag til bibliothekets nyeste historie",1830,Ad 155,DNB,999345826
999352539,Die @Schule der Frauen,1827,Va 434 - 190,DNB,999352539
999414267,"De la Protection, accordée aux photographies, aux dessins et modèles industriels et aux brevets dʹinvention dans lʹempire dʹAllemagne",1878,Bö E III 606,DNB,999414267
999418319,Reliquien,1766,Bö E IV 453,DNB,999418319
999418424,DEVTE||RONOMIOS MOSE|| ex Ebraeo castigatus cum|| annotationibus Mar||tini Lutheri,1525,"III 69, 23b",DNB,999418424
999418432,Devte||ronomion Mose|| cum annotationibus.,1525,"III 104, 14 b",DNB,999418432
999437771,"Über den vorgeblichen Einfluß der Philosophen, Freymäurer und Illuminaten auf die französische Revolution",1801,"IV 33, 37d",DNB,999437771
99944221X,"Moyens de droit pour [Charles] Bradier ; [Jean-Baptiste] Simare ; [Nicolas] Lardoise, condamnés à la roue",1786,Bö E IV 387/4°,DNB,99944221X
999453831,Ein @Autographon Peter Schöffers in einer Inkunabel der königlichen und Universitätsbibliothek zu Königsberg i. Pr.,1869,Oa 29,DNB,999453831
999458310,"Beschreibung des Festes dem Andenken des Erfinders der Buchdruckerkunst Johann Gensfleisch zum Gutenberg, gefeiert in Mainz am 4. Oktober 1824 von sammtlichen Hewur Schriftsetzen,  Buchdrukkern und Schriftgießen daselbst. Zusammengest. von N. Müller",1824,Da 111,DNB,999458310
999458671,Dissertatio politica De Diffidentia modica quam sub praesidio Philippi Mülleri publicae eruditorum disquisitioni anno ... subjicio Michael Cretschmer,1678,"IV 162, 24",DNB,999458671
999471058,Altdeutsche Sprachproben,1871,Ca 4,DNB,999471058
999472631,Müllneriana,1820,Bö C V 513,DNB,999472631
999472720,Müllneriana Nro. 2,1820,Bö C V 513,DNB,999472720
999485997,Zwei Sidonische Inschriften,1855,Caa 3,DNB,999485997
999499777,Schattenrisse der jetztlebenden Altdorfischen Professoren nebst einer kurzen Nachricht von ihren Leben und Schriften,1790,"IV 51, 9",DNB,999499777
999501941,Der @Schelmen Zunft,1881,"III 36, 1 (Angebundenes Werk)",DNB,999501941
999503960,Mr. Murray's general list of works,1854,Bö C IV 393,DNB,999503960
999504991,"Practical Remarks on modern paper, with an introductory account of its former substitutes",1829,Bö B II 65,DNB,999504991
999555006,Memoriam Johannis Heumanni de Teutschenbrunn iure consulti ... atque pandectarum professoris ...,1760,Bö F III 1311/2°,DNB,999555006
999576380,Preis-Liste für den Buchhandel,1874,Bö D VII 23,DNB,999576380
999583905,M[arci] Aurelii Olympii Nemesiani Eclogae 4 et T. Calpurnii Siculi Eclogae 7 ad Nemesianum Carthaginiensem,1774,"IV 245 C, 1 (Angebundenes Werk)",DNB,999583905
999590529,"Künstliche vnd Ordentliche An||weyßung der gantzen Practie vff|| den Jetzigen schlag vnd derselbenn|| herluchen geschwinden Exempel,|| ...",1599,Bö B I 408,DNB,999590529
999591398,Neudörffer,1601,Bö B I 408,DNB,999591398
999596071,Physiologie des amoreux,1841,Vd 335,DNB,999596071
999604511,Geschichte der nach Rom entführten Heidelberger Bibliothek,1816,Bö G I 70,DNB,999604511
999617745,"Gründliche Beantwortung der unglimpflichen Censur, womit die Herren Autores der so genannten Unschuldigen Nachrichten das Wäysen-Haus und übrige Anstalten hieselbst zu beurtheilen sich angemasset haben",1710,"IV 144, 4 a",DNB,999617745
999626833,Theoretische und practische Betrachtung des Pulssschlages,1746,"IV 144, 24",DNB,999626833
999629875,Ernesti Antonii Nicolai Methodus concinnandi formulas medicamentorum exemplis ad medici quondam illustries Friderice Hoffmanni mentem accomodatis illustrata,1747,"IV 144, 24 (angebundenes Werk)",DNB,999629875
999636960,Ueber die Art wie vermittelst des transscendentalen Idealismus ein wirklich existirendes Wesen aus Principien konstruirt werden kann,1801,"IV 33, 37 d",DNB,999636960
999637606,"Ueber meine gelehrte Bildung, über meine Kenntniß der kritischen Philosophie und meine Schriften dieselbe betreffend, und über die Herren Kant, J. B. Erhard, und Fichte",1799,"IV 33, 37 d",DNB,999637606
999638548,"Nachricht von den Baumeistern, Bildhauern, Kupferstechern, Malern, Stukkaturern, und andern Künstlern, welche vom 13. Jahrhunderte bis jetz in um Berlin sich aufgehalten haben u. deren Kunstwerke z. Th. daselbst noch vorhanden sind",1786,Bö C V 179,DNB,999638548
999643878,"Beweis der Originalität der von J. Mentelin vor 1466 gedruckten Schrift des hs. Augustins ""de arte praedicandi""",1825,Ga 79,DNB,999643878
999652540,"Affenspiel F. Johan|| Nasen zu Ingelstad, sampt dem|| gantzen Affenreich in|| Schlauraffen|| Land|| Gute Nacht Bapst [Darin G. N. B. d.i.: Georg Nigrinus Battimontanus]|| [Titelholzschn.]",1571,"IV 405, 3 a",DNB,999652540
999653105,"EXAMEN|| Des Schandtbüch||leins F. Johan Nasen, das Er|| Handbüchlein des kleinen Catechismi|| nennet, auffs kürtzte in der|| Eihl zugerichtet|| von|| Georgio Nigrino Battimontano||",1571,"IV 405, 3 a",DNB,999653105
999654659,"Widerlegung der gro||ben, grewlichen, greifflichen, zuuor|| vnerhorten vnd Teufflischen Lesterungen vnd Lü||gen, Der Ersten Centurie F. Johan Nasen, des|| Bettel Münchs zu Ingelstadt, Mit welchen er das H.||Euangelium, ... auffs schmelichste antatstet||",1570,"IV 405, 3 a",DNB,999654659
999667688,Trésor des fèves et fleur des pois,1846,"Va, 544",DNB,999667688
999681958,Notationes zu Praelat [Friedrich] Opfergeltʹs Bibliotheca selecta,1735,Bö H 62,DNB,999681958
999682628,Notice des objets exposés,1878,"Od 30, [1]",DNB,999682628
999683004,Notice des objets exposés,1878,"Od 30, [1]",DNB,999683004
999683772,Notice des objets exposés,1878,"Od 30, [1]",DNB,999683772
999707523,"Essai dʹannales de la vie de Jean Gutenberg, inventeur de la typographie",1801,Da 45,DNB,999707523
999707523,"Essai dʹannales de la vie de Jean Gutenberg, inventeur de la typographie",1801,Da 175,DNB,999707523
999707523,"Essai dʹannales de la vie de Jean Gutenberg, inventeur de la typographie",1801,Bö C IV 104,DNB,999707523
999712020,"Der @aufrichtige und überzeugte Convertit, Johann Georg Obitz, Hochfürstlich-Bischöflicher und Domkapitlischer Buchbinder in Augsburg",1787,Bö B V 64,DNB,999712020
999719823,"Verzeichniß einer vom verstorbenen Krieges- und Stadtrath Oelrichs hinterlassenen Sammlung von ... Büchern, welche den 14, December 1791 durch den Königl. Auctions-Commissarius Prillwitz ... auf dem Cöllnischen Rathhause ... verauctioniret werden sollen",1791,Af 287,DNB,999719823
999720112,Variae Observationes ex re libraria et literaria [!],1756,Bö H 62,DNB,999720112
999720333,"Catalogus bibliothecae selectissimae viri reverendi Dn. Frider[ici] Oelrichs, Pastoris quondam Reformatae Ecclesiae in civitate Fridericiana meritissimi consveto auctionis more ac tempore d. 28. Sept. 1733",1733,Af 287,DNB,999720333
999720600,"Beytrag zur Geschichte der vortrefflichen ehemaligen fürstlichen Buchdruckerey zu Bard, im königl[ich] Schwedischen Pommern",1764,Bö C V 168,DNB,999720600
999720953,La @photochromie,1891,Bö B III 1295,DNB,999720953
999721070,"Historische Nachricht von der vortrefflichen ehemaligen fürstl[ichen] Buchdruckerey zu Bard in Pommern, ... zugl. d. königl. Greifswald. Akademie zu ihrer 3. hundertjähr. Jubelfeyer ...",1756,Bö C V 168,DNB,999721070
999722638,"Das @mit Singen und Beten vor Gott erscheinende Oelsnitz, oder das neue und verbesserte Oelsnitzer Gesang-Buch, welches 808 ... evangelische Lieder ... in sich hält, samt einem Anhange von 61 Liedern",1781,"IV 276 B, 1",DNB,999722638
999725831,Ioannis Oestenii Pomerani de mora,1586,"IV 150, 1 a",DNB,999725831
999727052,Naturgeschichte und Technologie [für Lehrer in Schulen und Liebhaber dieser Wissenschaften],1793,"IV 48, 8 b",DNB,999727052
999739123,Oliviero,1567,"IV 407, 19",DNB,999739123
999739506,"Joannis Olearii De stilo Novi Testamenti liber philologico-theologicus, post multas ed. Germanicas & Belgicas longe plurimis mendis purgatus ...",1721,"IV 434, 22 a (1. angebundenes Werk)",DNB,999739506
999750631,"Martini Opitii von Boberfelt, Prosodia Germanica, oder gantz new corr. u. verb. Buch von der teutschen Poeterey, in welchem alle ihre Eigenschafft u. Zugehör gründlich erzehlet, u. mit ... Exempeln ... außgeführet werden",1634,"IV 162, 4a",DNB,999750631
999761897,Orationis Dominicae versiones,1740,Bö B III 387,DNB,999761897
999764764,"Orationes politicae Dinarchi, Lycurgi, Lesbonactis, Herodis, Demadis",1619,"IV 146, 9a",DNB,999764764
999769065,"Eines @edlen und hochweisen Rahts der Stadt Franckfurt am Mayn erneuerte Ordnung und Artickel, wie es fürterhin auf denen Buchdruckereyen gehalten werden soll ; [Decretum in Senatu, d. 9. Febr. 1660] ; nach d. Ex. gedr. u. publ. im J. 1660",1690,Bö C V 281,DNB,999769065
999769340,"Anhang zu der erneuerten in anno 1660. publicirten Ordnung und Articuln, wie es fürterhin auff denen Buchdtruckereyen dieser Stadt gehalten werden solle",1690,Bö C V 268,DNB,999769340
999769340,"Anhang zu der erneuerten in anno 1660. publicirten Ordnung und Articuln, wie es fürterhin auff denen Buchdtruckereyen dieser Stadt gehalten werden solle",1690,Bö C V 281,DNB,999769340
999769693,"Ordnung eines ehrbarn Rathts der Stadt Oßnabrügk, wie es hinfüro bey ehelichen Versprechnüssen, Zuthetigungen, Hochzeiten, Kindtauffen, Kirchgänzen, Begräbnüssen, u. sonsten gehalten werden solle",1648,"IV 324, 2",DNB,999769693
999771272,Ordnungs-Regeln für das Arbeiter-Personal der Papier-Fabriken zu Bautzen und Obergurk,1844,Bö B II 179,DNB,999771272
99977767X,Enchiridion controversiarvm religionis,1602,"IV 398, 1d",DNB,99977767X
999777912,"Enchiridion controversiarvm, qvas Avgvstanae Confessionis Theologi habent cum Caluinianis ...",1604,"IV 398, 1d (1. angebundenes Werk)",DNB,999777912
999783238,Hieronymi Osorii Episc[opi] Sylvensis De religione lib[ri] III,1585,"IV 395, 2",DNB,999783238
99978370X,Adolph Dieterich Ortmanns Sendschreiben an den Herrn Verfasser der Reliquien,1766,Bö E IV 453,DNB,99978370X
999795945,"Trewhertzige Vermahnung der Pfältzischen Kirchen, an alle andere evangelische Kirchen in Teutschlandt ...",1607,"IV 146, 6",DNB,999795945
999799924,"OTTONIS PHRISINGEN||sis Episcopi, viri clarissimi, Rerum ab ori||gine mundi ad ipsius vs#[que] tempora|| gestarum, Libri Octo.|| EIVSDEM De gestis Friderici primi Aeno=||barbi Caes.Aug. Libri Duo.|| RADEVICI Phrisingeñ. ecc#[l]ie Canonici Libri|| duo, prioribus additi, de eiusd? Friderici Imp. gestis.|| [Hrsg.v.(IO. Cuspinianus||)]",1515,"III 103, 1a",DNB,999799924
999799924,"OTTONIS PHRISINGEN||sis Episcopi, viri clarissimi, Rerum ab ori||gine mundi ad ipsius vs#[que] tempora|| gestarum, Libri Octo.|| EIVSDEM De gestis Friderici primi Aeno=||barbi Caes.Aug. Libri Duo.|| RADEVICI Phrisingeñ. ecc#[l]ie Canonici Libri|| duo, prioribus additi, de eiusd? Friderici Imp. gestis.|| [Hrsg.v.(IO. Cuspinianus||)]",1515,Bö M 132,DNB,999799924
999802712,Einhundertfünfzehn weltliche une einige geistliche Lieder ... von den bedeutendsten Meistern d. 15. u. 16. Jh.,1873,,DNB,999802712
999803476,Physiologie de l'écolier,1841,Vd 239,DNB,999803476
99980961X,Teutschredender Owenus,1653,"IV 145, 11",DNB,99980961X
999813811,Paeanii Metaphrasis Eutropii historiae Romanae,1736,"IV 199, 1",DNB,999813811
