,Gruppe,digi,Lfd Nr.,AKZ,bbg_x,IDN,Link zum Portal,signatur_g_x,Signatur,"steht bei
/ Anm.
zur
Signatur",Provenienzmerkmal,Material,Format,Öffnungswinkel,Einschränkungen,Glasplatte ,Verpackung,Verpackung austauschen ,Schadensklasse,"notwendige Reparatur(en) vor der Digitalisierung, notwendige Reparatur(en) vor der Digitalisierung",Bemerkungen,"Fragen/ Hinweise
an DBSM",Fragen an M. Steinberg,"nicht
am Stand-ort","Größe ÜF
(BxH)","Breite
(nur Ausreißer)","Dicke
(>12 cm)","12° Format
(<15 cm)","Einband-
art","Einband-
art Kommentar","Einband über-
formt (ganz od. teilweise)",Buch bereits restau-riert,"hohler/
fester Rücken (mit Einlage/
Vergoldung?)","Steh-
kanten
(bei Perg.)",Leder pudert ab/roter Zerfall (extrem),Einband stark defor-miert,Be-schläge bes. auftra-gend,Buch-schließe steif,Buch-block Pa./Perg.,saures Füll-material,Register-marken,seitliche Heftung,Buch-block sehr wellig,"Buch-block neigt zum ""Bauch""",ge-schloss-ene Lagen,Falttafeln,"Größe Buch+
Falttafeln (BxH)",Original-grafik,Kolorier-ung / Buch-malerei / Initialen / Rubri-kation,berühr-ungsfreie Digit.,Schrift weit bis in den Falz (Bund-steg in mm) Text-verlust,nicht digitali-sierbar wegen Bund-steg (vorraus-sichtlich),max. Öffnungs-winkel,max. Öffnungs-winkel Kommentar,Digit. mit Begleit-ung,Digit. mit Begleit-ung Kommentar,Rest.-Bericht einge-klebt,Blatt mit Notizen zum Buch eingeklebt ,"Rest.
not-wendig (ja/nein) (vor/nach der Digit.)","Rest.-
Aufwand gesamt
(in Std.)","Rest.
erfolgt",Kassette,Schuber,Buch-schuh,Mappe ,Um-schlag,SB neu,Anmerkungen (allg.),"für Testphase
vorsehen","für Testphase
vorsehen Kommentar",Schutz-behältnis empfohlen,Foto für Erheb. Rest. angefertigt (ab August),feuchte-empfind-liches Leder,"Material am Rücken/
Einband lose / eingeris-sen (auch Titelschild)",Narben spaltet sich ab,"Gelenk(e) 
an/durch-gebro-chen",Bünde gebro-chen (Anzahl),"Rücken lose/
halb lose",Be-schläge locker,"Buch
schließe fragil",Deckel spaltet sich / Fehlstelle im Deckel,Deckel gebro-chen,Deckel lose / halb lose,"Kapital fragil/
lose","Rest.-Aufwand Einband
(in Std.)",Anmerkungen für die Restaurierung am Einband,"Ver-schmutz-ung (Vorsatz / Ränder /
ges. BB)",mikro-bieller Befall,Farb-schicht pudert,Buch-block / Seiten verblockt,erste / letzte Lage oder Seiten lose,(halb-) lose Seiten im BB,Heftung zerstört,Risse / Fehl-stellen im Vorsatz,Risse im Text-bereich / an exponier-ter Stelle (z.B. Ecke),Risse am Rand,"Fehl-stellen im BB
(groß) ",Insekten-fraß (stark),Falten / Knicke,"saures /
brüchiges Papier",Tinten-/ Farbfraß (akut),Register-marken fragil,"Klebe-
streifen ablösen","Rest.-Aufwand Buchblock
(in Std.)",Anmerkungen für die Restaurierung am Buchblock,idn,akz,bbg_y,standort,signatur_g_y,signatur_a,titel,stuecktitel,umfang,f4243,f4256,f4241,f4105_9,f4105_g,ausleihcode,sig_komm,f4801_a,bibliothek,einrichtung,exemplar,wert
296,Bö M,True,305.0,L-1579-315494166,Aaf,1066963959,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066963959,Bö M 227,Bö M 227,,x,Ledereinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?",Schrift bis in den Falz,,Archivkarton,Nein,0.0,,,,,,,,,,HD,,,x,f,,,,,,Pa,,,,,,,,,,,,2.0,,max 110,,,,,,n,0.0,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Bö M,True,306.0,L-1551-181068729,Aal,1003840019,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003840019,Bö M 228/8°,Bö M 228/8°,,x,Pergamentband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?",hohler Rücken,,Kassette,Nein,0.0,,,,,,,,,,Pg,"
flexibler Perg.bd.",,,h,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,Gewebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Bö M,False,307.0,L-1593-315331372,,1066873569,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066873569,,Bö M 229,,,Ledereinband,bis 25 cm,nur sehr geringer Öffnungswinkel,Schrift bis in den Falz,,Papierumschlag ,Ja,0.0,,,,,,,,,,L,,,,f,,,,,,Pa,,,,,,,,,,,,0.0,x,80,,,,,,n,0.0,,,,,,x sauer,x,,,,Box (Buch sperrt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1066873569,L-1593-315331372,Aaf,DBSM/M/Bö,Bö M 229,Bö M 229,"STEPHANI|| FORCATVLI|| IVRESCONSVLTI|| CLARISSIMI,|| ad Tit. Digest.|| DE SERVITVTIBVS,|| succincta explicatio.|| Cum INDICE legum in hoc commentario|", : ,"[5 statt 6] Bl., 284 S., [3] Bl.",,,,1137971231,Qd,,,,,1.0,2.0,
299,Bö M,True,,L-9999-414284461,Qd,1137971231,,Bö M 229,Bö M 229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Bö M,False,308.0,L-1601-67451419X,,1209515709,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1209515709,,Bö M 229 (Angebundenes Werk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Bö M,True,309.0,L-1562-315493283,Aaf,1066963010,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066963010,Bö M 230,Bö M 230,,x,Papier- oder Pappeinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?",hohler Rücken,,Kassette,"Nein, Signaturfahne austauschen",3.0,,,,,,,,,,Pa,,,,h/E,,,,,,Pa,,,,,,,,,,,,,,60,,,,,,n,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Bö M,True,310.0,L-1526-181144301,Aal,1003893554,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003893554,Bö M 231/8°,Bö M 231/8°,,,Halbledereinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?",stark brüchiges Einbandmaterial,,Kassette,Nein,3.0,,,,,,,,,,L,,,,f,,,,,,Pa,,,,,,,,,,,,,,nur 110,"
nur 110, wegen Schaden",x,,,,ja vor und nach,12.0,,Gewebe,,,,,,"Rücken wurde bereits mit Leder unterzogen, ist aber in den Gelenken gerissen; für Digit. Umschlag o.ä. anfertigen um Deckel abzustützen, eigentliche Rest. erst nach der Digit. oder ggf. Interim belassen",,,,,,,,v/h,8.0,,,,,,RD,x,10.0,für Digit. Umschlag oder ähnliches anfertigen,,,,,,x,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
303,Bö M,True,311.0,L-1526-315468920,Aaf,1066941203,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066941203,Bö M 232,Bö M 232,,,Ledereinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?",stark brüchiges Einbandmaterial,,Papierumschlag ,Ja,0.0,,,,,,,,,,L,,,x,f,,,,,,Pa,,,,,,,,,,,,,,45,,,,,,ja vor,0.5,,,,,,x sauer,x,"Rest. In den Gelenken bereits wieder kaputt, aber trotzdem stabil --> belassen (nur festigen)",,,Umschlag,,,x,,,,,,,,,,,0.5,"loses Leder zurückkleben, Rest belassen, ggf. Umschlag anfertigen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Bö M,True,312.0,L-1750-181141159,Aal,1003890490,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003890490,Bö M 233/8°,Bö M 233/8°,,,Ledereinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?",fester Rücken mit Schmuckprägung,,Schuber,"Nein, Signaturfahne austauschen",0.0,,,,,,,,,,L,,,,h/E,,,,,,Pa,,,,,,,,,,,,,,max 110,,,,,,n,0.0,,,historisch,,,x Buntpapier mit Gewebe kaschiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Bö M,True,313.0,L-1679-181117843,Aal,1003868525,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003868525,Bö M 234/8°,Bö M 234/8°,,,Ledereinband,bis 25 cm,nur sehr geringer Öffnungswinkel,fester Rücken mit Schmuckprägung,,Papierumschlag ,Ja,0.0,,,,,,,,,,L,,,,f/V,,,,,,Pa,,,,,,,,,,,,,,45,,,,,,n,0.0,,,, ,,x sauer,x,,,,Umschlag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Bö M,True,314.0,L-1564-181208350,Afl,100393904X,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D100393904X,Bö M 235/8°,Bö M 235/8°,,,"Schließen, erhabene Buchbeschläge",bis 25 cm,nur sehr geringer Öffnungswinkel,"Schrift bis in den Falz, welliger Buchblock, Schrift bis in den Falz",,Papierumschlag ,Ja,2.0,,,,,,,,,,HD,,,,f,,,,,,Pa,,,,,,,,,,,,,,60,,,,,,ja vor,10.0,,,,,,x sauer,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,x,,x,,,,,,,10.0,"ca. 15 Seiten stark von Schimmel angegriffen, weitere teilweise wattig",,,,,,,,,,,,,,,,,,,,,
307,Bö M,True,315.0,L-1502-181053624,Afl,100382594X,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D100382594X,Bö M 236/8,Bö M 236/8,,,Papier- oder Pappeinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?","welliger Buchblock, erhabene Illuminationen, stark brüchiges Einbandmaterial, Mehrfacheinbände innerhalb eines Buches",nicht auflegen,Papierumschlag ,Ja,3.0,,,,,,,,,,Pa,,,,h/E,,,,,,Pa,,,,,,,,,,R,x,,,45,,,,,,n,0.0,,,,,,x sauer,x,Schaden am Rücken stabil,,,Umschlag (wg. Schaden),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Bö M,True,316.0,L-1502-181053683,Afl,1003826016,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003826016,Bö M 236/8°,Bö M 236/8° (anagebunden),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Bö M,False,317.0,L-1588-315463031,,1066935041,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066935041,,Bö M 237,,,Ledereinband,bis 25 cm,nur sehr geringer Öffnungswinkel,"Mehrfacheinbände innerhalb eines Buches, Schrift bis in den Falz",,Papierumschlag ,Ja,1.0,,,,,,,,,x,L,,,,f,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,x sauer,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1066935041,L-1588-315463031,Aal,DBSM/M/Bö,Bö M 237,Bö M 237,"Psalterivm Latinvm Davidis, Prophetae et Regis. Cvm Familiari Et Pia Expositione, Ac Brevi Notatione ... scripta à Christophoro. Cornero D. Et Ab Eode", : ,"[17] Bl., 580 [i.e. 508] S., [5] Bl.",,,,1137894911,Qd,,,,,1.0,2.0,
310,Bö M,False,318.0,L-1588-315463031,,1066935041,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066935041,,Bö M 237,ist doppelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1066935041,L-1588-315463031,Aal,DBSM/M/Bö,Bö M 237,Bö M 237,"Psalterivm Latinvm Davidis, Prophetae et Regis. Cvm Familiari Et Pia Expositione, Ac Brevi Notatione ... scripta à Christophoro. Cornero D. Et Ab Eode", : ,"[17] Bl., 580 [i.e. 508] S., [5] Bl.",,,,1137894911,Qd,,,,,1.0,2.0,
311,Bö M,True,,L-9999-414174321,Qd,1137894911,,Bö M 237,Bö M 237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Bö M,False,319.0,L-1588-670402257,,1208530704,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1208530704,,Bö M 237 (Angebundenes Werk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Bö M,True,320.0,L-1544-315493615,Aaf,1066963355,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066963355,Bö M 238,Bö M 238,,,Ledereinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?",welliger Buchblock,,Papierumschlag ,Ja,1.0,,,,,,,,,,L,,,,f,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,ja vor,3.5,,,,,,x sauer,x,,,,Box (wg. Schaden),,,x,,x,,,,,,,,,0.5,"nur Rücken sichern, Ecken und RD lassen (ist stabil genug)",x,,,,,,,x,,,,x,,,,,,3.0,"Ränder reinigen, Insektenfraß sichern",,,,,,,,,,,,,,,,,,,,,
314,Bö M,True,321.0,L-1599-315323914,Aaf,1066865639,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066865639,Bö M 239,Bö M 239,,,Ledereinband,bis 25 cm,nur sehr geringer Öffnungswinkel,"welliger Buchblock, Schrift bis in den Falz",,Papierumschlag ,Ja,0.0,,,,,,,,,,L,,,,f,,,,,,Pa,,,,,,,,,,,,4.0,,max 110,,,,,,n,0.0,,,,,,x sauer,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Bö M,True,322.0,L-1544-181085437,Aal,100385656X,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D100385656X,Bö M 240,Bö M 240,,,"Ledereinband, Schließen, erhabene Buchbeschläge",bis 25 cm,"80° bis 110°, einseitig digitalisierbar?",,,Papierumschlag ,Ja,1.0,,,,,,,,,,HD,,,,f,,,,,,Pa,,,,,,,,,,,,,,max 110,,,,,,n,0.0,,,,,,x sauer,x,,,,Box (Buch sperrt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Bö M,False,323.0,L-1588-315493461,,1066963185,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066963185,,Bö M 241,,,Ledereinband,bis 25 cm,nur sehr geringer Öffnungswinkel,"welliger Buchblock, Schrift bis in den Falz, Mehrfacheinbände innerhalb eines Buches",,Papierumschlag ,Ja,3.0,,,,,,,,,,L,,,,f,,,,,,Pa,,,,,,,,,,,,2.0,,110,,,,,,n,0.0,,,,,,x sauer,x,,,,Box (Buch sperrt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1066963185,L-1588-315493461,Aaf,DBSM/M/Boe,Bö M 241,Bö M 241,"[METHODICA|| INSTITUTIO-||NUM JURIS CIVILIS|| Justinianéi Analysis,|| Cum oratione|| DE STUDIO JURIS RECTE|| instituendo:|| AUCTORE|| BERNHARDO COPIO,", : ,62 Bl.,,,,1138366714,Qd,,,,,1.0,2.0,
317,Bö M,True,,L-9999-414893476,Qd,1138366714,,Bö M 241,Bö M 241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Bö M,False,324.0,L-9999-181117134,,1003868010,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003868010,,Bö M 241 (1. angebundenes Werk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Bö M,False,325.0,L-1590-185026737,,1005719152,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1005719152,,Bö M 241 (2. angebundenes Werk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Bö M,True,326.0,L-1544-315063084,Aaf,1066674566,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066674566,Bö M 242,Bö M 242,,,"Ledereinband, Schließen, erhabene Buchbeschläge",bis 25 cm,nur sehr geringer Öffnungswinkel,Schrift bis in den Falz,,Kassette,Nein,0.0,,,,,,,,,,HD,,,x,f,,,,,,Pa,,,,,x,,,,,,,0.0,x,max 110,,,,x,,n,0.0,,Gewebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Bö M,True,327.0,L-1544-18129995X,Aal,1003988792,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003988792,Bö M 242/8°,Bö M 242/8°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Bö M,False,328.0,L-1526-31548733X,,1066956693,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066956693,,Bö M 243,,,"Ledereinband, Schließen, erhabene Buchbeschläge",bis 25 cm,nur sehr geringer Öffnungswinkel,"Schrift bis in den Falz, erhabene Illuminationen",nicht auflegen,Kassette,Nein,1.0,,,,,,,,,,L,,,x,f,,,,,,Pa,,,,,x,,,,,,,2.0,,110,,,,,,n,0.0,,Gewebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1066956693,L-1526-31548733X,Aaf,DBSM/M/Bö,Bö M 243,Bö M 243,"[IMPERA||TORVM ROMANO=||RVM LIBELLVS.|| Vnà cum imaginibus,|| ad uiuam effigiem|| expreßis.||] : ", : ,"[7 statt 8], 82[=89], [2] Bl.",,,,1138240583,Qd,,,Einige d. Medaillons koloriert,,1.0,2.0,
323,Bö M,True,,L-9999-414746074,Qd,1138240583,,Bö M 243,Bö M 243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Bö M,False,329.0,L-1526-67969241X,,1211524310,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1211524310,,Bö M 243 (Angebundenes Werk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Bö M,True,330.0,L-1546-315207841,Aaf,1066786240,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1066786240,Bö M 244,Bö M 244,,,Ledereinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?",,,Papierumschlag ,Ja,1.0,,Teile aus Seiten ausgeschnitten,,,,,,,,L,,,,h,,,,,,Pa,,,,,,,,,,,,,,110,,,,,,n,0.0,,,,,,x sauer,x,fester Rücken inzwischen hohl,,,Umschlag (abriebgefährdet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Bö M,True,331.0,L-1561-315327413,Aaf,106686943X,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D106686943X,Bö M 245,Bö M 245,,,Ledereinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?","welliger Buchblock, fester Rücken mit Schmuckprägung, stark brüchiges Einbandmaterial",,Kassette,Nein,2.0,,,,,,,,,,HD,,,x,f/V,,,,,,Pa,,,,x,,,,,,,,,,45,,,,,,ja vor,0.5,,Wellpappe,,,,,,,,,,,,x,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Bö M,True,332.0,L-1553-18114929X,Aal,1003898483,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003898483,Bö M 246/8°,Bö M 246/8°,,,"Ledereinband, Schließen, erhabene Buchbeschläge",bis 25 cm,"80° bis 110°, einseitig digitalisierbar?",Schrift bis in den Falz,,Kassette,Nein,0.0,,Originaleinband separat,,,,,,,,L,,,x,f,,,,,,Pa,,,,,x,,,,,,,4.0,,110,,,,,,n,0.0,,Gewebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Bö M,True,333.0,L-1567-181115379,Aal,1003866670,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003866670,Bö M 247/8°,Bö M 247/8°,,,"Ledereinband, Schließen, erhabene Buchbeschläge",bis 25 cm,nur sehr geringer Öffnungswinkel,Schrift bis in den Falz,,Papierumschlag ,Ja,1.0,,,,,,,,,x,HD,,,,f,,,,,,Pa,,,,,,,,,,,,4.0,,110,,,,,,n,0.0,,,,,,x sauer,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Bö M,True,334.0,L-1715-181115840,Aal,1003866999,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003866999,Bö M 248/8°,Bö M 248/8°,,X,Halbpergamentband,bis 25 cm,180°,welliger Buchblock,,Papierumschlag ,"Ja, Signaturfahne austauschen",2.0,,,,,,,,,x,Pg,"
flexibler Pg",,,h,,,,,,Pa,,,,,,,,,,,,,,nur 110,,,,,,n,0.0,,,,,,x sauer,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Bö M,True,335.0,L-1592-181116391,Aal,1003867383,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003867383,Bö M 249/8°,Bö M 249/8°,,,Ledereinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?","Schrift bis in den Falz, gefaltete Blätter, fester Rücken mit Schmuckprägung",,Kassette,Nein,1.0,,,,,,,,,,L,,,,f/V,,,,,,Pa,,,,,,,x,"B: 10x16
F: 10x30",x,,,,,110,,,,,,ja vor,1.0,,Gewebe,,,,,,Achtung: ungewöhnliches Faltprinzip bei den Falttafeln,,,,,,,,v/h,,,,,,,,,1.0,Gelenke mit JP überfassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Bö M,False,337.0,L-1554-157753417,,994729375,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D994729375,,Bö M 250 angebunden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Bö M,True,338.0,L-1683-163759405,Aal,997387564,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D997387564,Bö M 251,Bö M 251,,,Ledereinband,bis 25 cm,"80° bis 110°, einseitig digitalisierbar?",,,Papierumschlag ,"Ja, Signaturfahne austauschen",0.0,,,,,,,,,x,L,,,,f/V,,,,,,Pa,,,,,,,,,x,,x,,,max 110,,,,,,n,0.0,,,,,,x sauer,x,,,,"Box (Buch sperrt, besonderer Einband)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Bö M,False,339.0,L-1575-181287684,,1003976794,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003976794,,Bö M 252/8°,,,"Ledereinband, Schließen, erhabene Buchbeschläge",bis 25 cm,nur sehr geringer Öffnungswinkel,"Schrift bis in den Falz, Mehrfacheinbände innerhalb eines Buches",,Papierumschlag ,Ja,0.0,,,,,,,,,x,HD,,,x,f,,,,,,Pa,,,,,x,,,,,,,0.0,x,80,,,,,,n,0.0,,,,,,x sauer,x,,,,Box (Buch sperrt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003976794,L-1575-181287684,Aal,DBSM/M/Bö,Bö M 252/8°,Bö M 252/8°,"Jacobi Slvperii, Herzelensis, Flandri, Poemata : ", : ,"472 Seiten, 8 ungezählte Seiten (die letzte leer)",,,,1262280389,Qd,,,,,1.0,2.0,
334,Bö M,True,,L-1566-783812086,Qd,1262280389,,Bö M 252/8°,Bö M 252/8°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Bö M,False,340.0,L-1566-181189615,,1003921566,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003921566,,Bö M 252/8° (angebunden),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Bö M,True,341.0,L-1526-306836645,Aal,1003893554,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=idn%3D1003893554,Bö M 253,Bö M 253,,,Pergamentband,bis 25 cm,nur sehr geringer Öffnungswinkel,"welliger Buchblock, Schrift bis in den Falz",,,Signaturfahne austauschen,1.0,,,,,,,,,,Pg,,,,h,,,,,,Pa,,,,,,,,,,,,,,max 45,,x,"
wegen Klappe",,,n,0.0,,,,,,,,flexibler Perg.bd. mit Vorderklappe,,,Box (wg. Klappe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
